Replace Part R? RC0402FR-0710KL in C:\Users\Administrator\Desktop\Repositories\电子封装课设\sch\2_主控.SchDoc with RC0402FR-0710KL from 5_CPU_TF卡.schdoc.SCHLIB
Replace Part R? RC0402FR-0710KL in C:\Users\Administrator\Desktop\Repositories\电子封装课设\sch\2_主控.SchDoc with RC0402FR-0710KL from 5_CPU_TF卡.schdoc.SCHLIB
Replace Part R? RC0402FR-0710KL in C:\Users\Administrator\Desktop\Repositories\电子封装课设\sch\2_主控.SchDoc with RC0402FR-0710KL from 5_CPU_TF卡.schdoc.SCHLIB
Replace Part R? RC0402FR-0710KL in C:\Users\Administrator\Desktop\Repositories\电子封装课设\sch\2_主控.SchDoc with RC0402FR-0710KL from 5_CPU_TF卡.schdoc.SCHLIB
Replace Part R? RC0402FR-0710KL in C:\Users\Administrator\Desktop\Repositories\电子封装课设\sch\2_主控.SchDoc with RC0402FR-0710KL from 5_CPU_TF卡.schdoc.SCHLIB
Replace Part R? RC0402FR-0710KL in C:\Users\Administrator\Desktop\Repositories\电子封装课设\sch\2_主控.SchDoc with RC0402FR-0710KL from 5_CPU_TF卡.schdoc.SCHLIB
Replace Part R? RC0402FR-0710KL in C:\Users\Administrator\Desktop\Repositories\电子封装课设\sch\2_主控.SchDoc with RC0402FR-0710KL from 5_CPU_TF卡.schdoc.SCHLIB
Replace Part R? RC0402FR-0710KL in C:\Users\Administrator\Desktop\Repositories\电子封装课设\sch\2_主控.SchDoc with RC0402FR-0710KL from 5_CPU_TF卡.schdoc.SCHLIB
Replace Part SW? TS-1187A-B-A-B in C:\Users\Administrator\Desktop\Repositories\电子封装课设\sch\2_主控.SchDoc with TS-1187A-B-A-B from 5_CPU_TF卡.schdoc.SCHLIB
Replace Part SW? TS-1187A-B-A-B in C:\Users\Administrator\Desktop\Repositories\电子封装课设\sch\2_主控.SchDoc with TS-1187A-B-A-B from 5_CPU_TF卡.schdoc.SCHLIB
Replace Part U? HT7533-1_C14289 in C:\Users\Administrator\Desktop\Repositories\电子封装课设\sch\2_主控.SchDoc with HT7533-1_C14289 from 5_CPU_TF卡.schdoc.SCHLIB
Replace Part U? STM32F405RGT6 in C:\Users\Administrator\Desktop\Repositories\电子封装课设\sch\2_主控.SchDoc with STM32F405RGT6 from 5_CPU_TF卡.schdoc.SCHLIB
Replace Part U? STM32F405RGT6 in C:\Users\Administrator\Desktop\Repositories\电子封装课设\sch\2_主控.SchDoc with STM32F405RGT6 from 5_CPU_TF卡.schdoc.SCHLIB
Replace Part USB? TYPE-C-31-M-19 in C:\Users\Administrator\Desktop\Repositories\电子封装课设\sch\2_主控.SchDoc with TYPE-C-31-M-19 from 5_CPU_TF卡.schdoc.SCHLIB
Replace Part X? X50328MSB2GI in C:\Users\Administrator\Desktop\Repositories\电子封装课设\sch\2_主控.SchDoc with X50328MSB2GI from 5_CPU_TF卡.schdoc.SCHLIB
Replace Part X? Q13FC1350000400 in C:\Users\Administrator\Desktop\Repositories\电子封装课设\sch\2_主控.SchDoc with Q13FC1350000400 from 5_CPU_TF卡.schdoc.SCHLIB
